0060 | 2024-09-14 20:12:54 -03:00 | D:\VideosCurtos\IMG_0092.MOV | HDR->SDR
0061 | 2024-09-23 21:08:14 -03:00 | D:\VideosCurtos\IMG_0229.MOV | HDR->SDR
0062 | 2024-09-29 07:55:19 -03:00 | D:\VideosCurtos\IMG_0263.MOV | HDR->SDR
0063 | 2025-01-30 15:03:35 -03:00 | D:\VideosCurtos\IMG_1759.MOV | HDR->SDR
0064 | 2025-02-17 14:58:53 -03:00 | D:\VideosCurtos\IMG_E1939.MOV
0065 | 2025-03-04 12:22:50 -03:00 | D:\VideosCurtos\IMG_2043_1.MOV | HDR->SDR
0066 | 2025-03-04 12:23:24 -03:00 | D:\VideosCurtos\IMG_2045_1.MOV | HDR->SDR
0067 | 2025-03-04 19:25:50 -03:00 | D:\VideosCurtos\IMG_E2050_1.MOV
0068 | 2025-03-05 14:19:26 -03:00 | D:\VideosCurtos\IMG_E2060_1.MOV
0069 | 2025-03-05 14:46:33 -03:00 | D:\VideosCurtos\IMG_E2062_1.MOV
0070 | 2025-03-05 14:47:29 -03:00 | D:\VideosCurtos\IMG_E2063_1.MOV
0071 | 2025-03-05 14:52:22 -03:00 | D:\VideosCurtos\IMG_E2064_1.MOV
0072 | 2025-03-05 14:52:44 -03:00 | D:\VideosCurtos\IMG_E2065_1.MOV
0073 | 2025-03-08 15:12:59 -03:00 | D:\VideosCurtos\IMG_E2093_1.MOV
0074 | 2025-03-08 15:17:46 -03:00 | D:\VideosCurtos\IMG_E2094_1.MOV
0075 | 2025-03-08 15:17:58 -03:00 | D:\VideosCurtos\IMG_E2095_1.MOV
0076 | 2025-03-09 14:47:59 -03:00 | D:\VideosCurtos\IMG_E2108_1.MOV
0077 | 2025-03-11 09:07:18 -03:00 | D:\VideosCurtos\IMG_E2110_1.MOV
0078 | 2025-03-11 09:15:14 -03:00 | D:\VideosCurtos\IMG_E2111_1.MOV
0079 | 2025-03-11 10:02:12 -03:00 | D:\VideosCurtos\IMG_E2116_1.MOV
0080 | 2025-03-11 10:02:22 -03:00 | D:\VideosCurtos\IMG_E2117_1.MOV
0081 | 2025-03-11 10:03:02 -03:00 | D:\VideosCurtos\IMG_E2118_1.MOV
0082 | 2025-03-11 10:03:25 -03:00 | D:\VideosCurtos\IMG_E2119_1.MOV
0083 | 2025-03-11 10:03:48 -03:00 | D:\VideosCurtos\IMG_E2120_1.MOV
0084 | 2025-03-13 15:15:21 -03:00 | D:\VideosCurtos\IMG_E2126_1.MOV
0085 | 2025-03-13 15:15:23 -03:00 | D:\VideosCurtos\IMG_E2127_1.MOV
0086 | 2025-03-13 15:51:26 -03:00 | D:\VideosCurtos\IMG_E2128_1.MOV
0087 | 2025-03-14 12:13:52 -03:00 | D:\VideosCurtos\IMG_2138_1.MOV | HDR->SDR
0088 | 2025-03-14 12:28:30 -03:00 | D:\VideosCurtos\IMG_2140_1.MOV
0089 | 2025-03-14 12:28:30 -03:00 | D:\VideosCurtos\IMG_E2140_1.MOV
0090 | 2025-03-14 12:28:39 -03:00 | D:\VideosCurtos\IMG_2141_1.MOV
0091 | 2025-03-14 12:28:39 -03:00 | D:\VideosCurtos\IMG_E2141_1.MOV
0092 | 2025-03-14 13:48:00 -03:00 | D:\VideosCurtos\IMG_E2142_1.MOV
0093 | 2025-03-15 10:33:12 -03:00 | D:\VideosCurtos\IMG_E2147_1.MOV
0094 | 2025-03-15 13:21:32 -03:00 | D:\VideosCurtos\IMG_E2149_1.MOV
0095 | 2025-03-15 13:28:05 -03:00 | D:\VideosCurtos\IMG_E2150_1.MOV
0096 | 2025-03-16 16:14:04 -03:00 | D:\VideosCurtos\IMG_2152_1.MOV
0097 | 2025-03-16 16:14:04 -03:00 | D:\VideosCurtos\IMG_E2152_1.MOV
0098 | 2025-03-16 16:21:36 -03:00 | D:\VideosCurtos\IMG_E2153_1.MOV
0099 | 2025-03-17 17:37:54 -03:00 | D:\VideosCurtos\IMG_E2161_1.MOV
0100 | 2025-03-17 17:38:16 -03:00 | D:\VideosCurtos\IMG_E2162_1.MOV
0101 | 2025-03-20 17:00:25 -03:00 | D:\VideosCurtos\IMG_E2196_1.MOV
0102 | 2025-03-21 08:29:41 -03:00 | D:\VideosCurtos\IMG_E2199_1.MOV
0103 | 2025-04-12 13:22:14 -07:00 | D:\VideosCurtos\IMG_0001_1.MOV
0104 | 2025-04-12 13:22:22 -07:00 | D:\VideosCurtos\IMG_0002_1.MOV
0105 | 2025-04-13 06:24:24 -03:00 | D:\VideosCurtos\IMG_0003_1.MOV
0106 | 2025-04-15 17:38:08 -03:00 | D:\VideosCurtos\IMG_E2689_1.MOV | HDR->SDR
0107 | 2025-04-16 15:12:29 -03:00 | D:\VideosCurtos\IMG_E2718.MOV
0108 | 2025-04-19 10:37:14 -03:00 | D:\VideosCurtos\IMG_2756.MOV | HDR->SDR
0109 | 2025-04-27 19:42:45 -03:00 | D:\VideosCurtos\IMG_2902.MOV | HDR->SDR
0110 | 2025-05-22 11:44:10 -03:00 | D:\VideosCurtos\IMG_3238.MOV | HDR->SDR
0111 | 2025-06-10 22:24:38 -03:00 | D:\VideosCurtos\IMG_3465.MOV | HDR->SDR
0112 | 2025-06-11 20:53:32 -03:00 | D:\VideosCurtos\IMG_3487_1.MOV | HDR->SDR
0113 | 2025-06-12 12:30:24 -03:00 | D:\VideosCurtos\IMG_E3494_1.MOV
0114 | 2025-06-12 12:30:24 -03:00 | D:\VideosCurtos\IMG_3494_1.MOV
